"cluster" "start" "end" "size" "node"
"140" "cluster848" 1243925 1244457 532 5
"141" "cluster848" 1244807 1245407 600 5
"142" "cluster848" 1245704 1247014 1310 5
"143" "cluster867" 1284465 1285136 671 5
"144" "cluster868" 1285137 1285158 21 5
"145" "cluster869" 1285159 1285370 211 5
"146" "cluster876" 1288775 1289276 501 5
"147" "cluster881" 1296898 1297290 392 5
"148" "cluster882" 1297291 1297721 430 5
"149" "cluster883" 1297722 1297780 58 5
"150" "cluster884" 1297781 1298100 319 5
"151" "cluster890" 1303894 1304123 229 5
"152" "cluster891" 1305033 1305155 122 5
"153" "cluster900" 1321761 1322660 899 5
"154" "cluster901" 1322661 1322901 240 5
"155" "cluster909" 1336770 1337775 1005 5
"156" "cluster910" 1337776 1338086 310 5
"157" "cluster911" 1338087 1338811 724 5
"158" "cluster912" 1338812 1339182 370 5
"159" "cluster970" 1439895 1440058 163 5
"160" "cluster971" 1440059 1440090 31 5
"161" "cluster972" 1440886 1441219 333 5
"162" "cluster973" 1441220 1441332 112 5
"163" "cluster974" 1442255 1442478 223 5
"164" "cluster976" 1455890 1455908 18 5
"165" "cluster981" 1461506 1462391 885 5
"166" "cluster982" 1466389 1467248 859 5
"167" "cluster983" 1467249 1467347 98 5
"168" "cluster984" 1467348 1467372 24 5
"169" "cluster985" 1467373 1468005 632 5
"170" "cluster1061" 1595231 1595531 300 5
"171" "cluster1103" 1656793 1657389 596 5
"172" "cluster1104" 1657390 1657760 370 5
"173" "cluster1110" 1662241 1662877 636 5
"174" "cluster777" 1155440 1155490 50 7
"175" "cluster778" 1155491 1155581 90 7
"176" "cluster77" 117936 118012 76 8
"177" "cluster78" 118013 118061 48 8
"178" "cluster440" 701352 701389 37 8
"179" "cluster19" 25236 25254 18 13
"180" "cluster20" 25255 25363 108 13
"181" "cluster53" 61296 61437 141 13
"182" "cluster54" 61438 61510 72 13
"183" "cluster64" 88801 89280 479 13
"184" "cluster64" 89965 90275 310 13
"185" "cluster67" 91619 92119 500 13
"186" "cluster67" 92444 92519 75 13
"187" "cluster78" 118897 119560 663 13
"188" "cluster86" 132762 132986 224 13
"189" "cluster93" 138574 138633 59 13
"190" "cluster94" 138634 138667 33 13
"191" "cluster95" 138668 139263 595 13
"192" "cluster95" 139942 140036 94 13
"193" "cluster96" 140037 140574 537 13
"194" "cluster112" 159643 159648 5 13
"195" "cluster113" 159649 161151 1502 13
"196" "cluster113" 161257 161369 112 13
"197" "cluster114" 161370 162825 1455 13
"198" "cluster119" 180053 180171 118 13
"199" "cluster120" 180172 180187 15 13
"200" "cluster125" 190753 191203 450 13
"201" "cluster139" 221254 221388 134 13
"202" "cluster140" 221847 222323 476 13
"203" "cluster141" 222843 222983 140 13
"204" "cluster142" 222984 223175 191 13
"205" "cluster143" 223176 223267 91 13
"206" "cluster179" 259593 259704 111 13
"207" "cluster186" 271652 272238 586 13
"208" "cluster204" 291045 291464 419 13
"209" "cluster249" 334979 335208 229 13
"210" "cluster253" 340839 341600 761 13
"211" "cluster253" 343134 343447 313 13
"212" "cluster258" 353421 353678 257 13
"213" "cluster259" 353679 354085 406 13
"214" "cluster267" 369913 370919 1006 13
"215" "cluster286" 402878 402944 66 13
"216" "cluster295" 411246 411863 617 13
"217" "cluster295" 413028 413813 785 13
"218" "cluster297" 416759 417467 708 13
"219" "cluster312" 439421 439869 448 13
"220" "cluster312" 440467 440779 312 13
"221" "cluster316" 447829 448144 315 13
"222" "cluster317" 448145 448219 74 13
"223" "cluster330" 473437 473520 83 13
"224" "cluster331" 473521 474082 561 13
"225" "cluster332" 474083 474858 775 13
"226" "cluster344" 488865 488969 104 13
"227" "cluster348" 491057 491807 750 13
"228" "cluster351" 495836 496310 474 13
"229" "cluster351" 498451 498515 64 13
"230" "cluster358" 512418 512587 169 13
"231" "cluster361" 514681 514881 200 13
"232" "cluster364" 524010 524082 72 13
"233" "cluster365" 526718 526814 96 13
"234" "cluster368" 535252 536036 784 13
"235" "cluster373" 552557 552792 235 13
"236" "cluster382" 580689 581021 332 13
"237" "cluster397" 602759 603209 450 13
"238" "cluster397" 604295 604709 414 13
"239" "cluster397" 604907 605360 453 13
"240" "cluster397" 605771 605959 188 13
"241" "cluster397" 607663 608009 346 13
"242" "cluster405" 621369 621436 67 13
"243" "cluster413" 632517 632929 412 13
"244" "cluster414" 632930 633188 258 13
"245" "cluster419" 641465 642940 1475 13
"246" "cluster420" 642941 643000 59 13
"247" "cluster427" 655033 655149 116 13
"248" "cluster429" 662185 662397 212 13
"249" "cluster429" 662869 663545 676 13
"250" "cluster436" 688868 688929 61 13
"251" "cluster439" 698189 698675 486 13
"252" "cluster440" 701423 702066 643 13
"253" "cluster445" 713377 714231 854 13
"254" "cluster450" 730097 730253 156 13
"255" "cluster474" 742830 742911 81 13
"256" "cluster475" 742912 742939 27 13
"257" "cluster476" 742940 743089 149 13
"258" "cluster477" 743090 743281 191 13
"259" "cluster478" 743282 743307 25 13
"260" "cluster479" 743308 743445 137 13
"261" "cluster502" 754469 754653 184 13
"262" "cluster503" 754654 754770 116 13
"263" "cluster504" 754771 754972 201 13
"264" "cluster505" 754973 755193 220 13
"265" "cluster512" 763329 763429 100 13
"266" "cluster523" 782007 782368 361 13
"267" "cluster532" 797138 797539 401 13
"268" "cluster532" 797736 799839 2103 13
"269" "cluster532" 799989 800989 1000 13
"270" "cluster533" 805970 806217 247 13
"271" "cluster545" 825163 825387 224 13
"272" "cluster547" 832696 832857 161 13
"273" "cluster548" 833690 833867 177 13
"274" "cluster548" 834951 835190 239 13
"275" "cluster548" 839107 839869 762 13
"276" "cluster548" 841957 842213 256 13
"277" "cluster605" 916057 916971 914 13
"278" "cluster606" 916972 917908 936 13
"279" "cluster607" 917909 918047 138 13
"280" "cluster607" 918967 919459 492 13
"281" "cluster608" 919460 919524 64 13
"282" "cluster642" 955219 955552 333 13
"283" "cluster648" 964543 964964 421 13
"284" "cluster673" 1001290 1001355 65 13
"285" "cluster674" 1003853 1003988 135 13
"286" "cluster675" 1003989 1004103 114 13
"287" "cluster675" 1004236 1004817 581 13
"288" "cluster676" 1005201 1006527 1326 13
"289" "cluster677" 1007336 1007801 465 13
"290" "cluster677" 1008099 1009797 1698 13
"291" "cluster702" 1044442 1044768 326 13
"292" "cluster707" 1047637 1047837 200 13
"293" "cluster726" 1081773 1081988 215 13
"294" "cluster727" 1081989 1082149 160 13
"295" "cluster728" 1083442 1083830 388 13
"296" "cluster731" 1088971 1090939 1968 13
"297" "cluster736" 1096834 1097279 445 13
"298" "cluster767" 1132254 1132575 321 13
"299" "cluster770" 1139534 1140216 682 13
"300" "cluster771" 1140217 1140232 15 13
"301" "cluster772" 1141007 1141178 171 13
"302" "cluster776" 1146449 1146713 264 13
"303" "cluster777" 1155329 1155490 161 13
"304" "cluster778" 1155491 1156045 554 13
"305" "cluster799" 1176151 1176603 452 13
"306" "cluster807" 1184278 1185339 1061 13
"307" "cluster816" 1199282 1200065 783 13
"308" "cluster817" 1200066 1200098 32 13
"309" "cluster818" 1200099 1200423 324 13
"310" "cluster828" 1211321 1211548 227 13
"311" "cluster829" 1211933 1212039 106 13
"312" "cluster830" 1212040 1212150 110 13
"313" "cluster831" 1212151 1213413 1262 13
"314" "cluster831" 1213874 1214841 967 13
"315" "cluster836" 1224931 1226981 2050 13
"316" "cluster844" 1236214 1236865 651 13
"317" "cluster844" 1237755 1237964 209 13
"318" "cluster845" 1237965 1238111 146 13
"319" "cluster846" 1238661 1238811 150 13
"320" "cluster847" 1241209 1241377 168 13
"321" "cluster847" 1241857 1242473 616 13
"322" "cluster847" 1243756 1243924 168 13
"323" "cluster848" 1243925 1244118 193 13
"324" "cluster848" 1246446 1246757 311 13
"325" "cluster850" 1249551 1250051 500 13
"326" "cluster852" 1252448 1252765 317 13
"327" "cluster856" 1265733 1266439 706 13
"328" "cluster859" 1270824 1271143 319 13
"329" "cluster861" 1277452 1278312 860 13
"330" "cluster862" 1278313 1278403 90 13
"331" "cluster876" 1290097 1290563 466 13
"332" "cluster891" 1306071 1306133 62 13
"333" "cluster893" 1312170 1312780 610 13
"334" "cluster901" 1323136 1323745 609 13
"335" "cluster907" 1325921 1326050 129 13
"336" "cluster907" 1326909 1327290 381 13
"337" "cluster909" 1334435 1334606 171 13
"338" "cluster909" 1334935 1335135 200 13
"339" "cluster909" 1335856 1336085 229 13
"340" "cluster911" 1338226 1338403 177 13
"341" "cluster912" 1339375 1340146 771 13
"342" "cluster913" 1340147 1340740 593 13
"343" "cluster913" 1341577 1342101 524 13
"344" "cluster913" 1342516 1343425 909 13
"345" "cluster931" 1363941 1364413 472 13
"346" "cluster931" 1366739 1367194 455 13
"347" "cluster941" 1381221 1382982 1761 13
"348" "cluster948" 1393923 1394655 732 13
"349" "cluster949" 1395851 1396271 420 13
"350" "cluster953" 1408441 1408620 179 13
"351" "cluster954" 1408621 1408710 89 13
"352" "cluster957" 1411237 1411349 112 13
"353" "cluster958" 1414687 1414888 201 13
"354" "cluster975" 1447503 1447862 359 13
"355" "cluster976" 1453051 1453101 50 13
"356" "cluster982" 1466389 1467133 744 13
"357" "cluster985" 1471344 1471887 543 13
"358" "cluster986" 1471888 1472329 441 13
"359" "cluster995" 1485630 1485984 354 13
"360" "cluster996" 1485985 1486011 26 13
"361" "cluster1008" 1514337 1514710 373 13
"362" "cluster1044" 1583106 1584007 901 13
"363" "cluster1045" 1584313 1584509 196 13
"364" "cluster1052" 1591403 1591943 540 13
"365" "cluster1061" 1596277 1596390 113 13
"366" "cluster1085" 1641637 1642329 692 13
"367" "cluster1086" 1642330 1642645 315 13
"368" "cluster1087" 1642646 1642723 77 13
"369" "cluster1088" 1642724 1642913 189 13
"370" "cluster1089" 1642914 1642935 21 13
"371" "cluster1090" 1642936 1643307 371 13
"372" "cluster1090" 1643649 1643771 122 13
"373" "cluster1093" 1645614 1645904 290 13
"374" "cluster1094" 1645905 1646261 356 13
"375" "cluster1097" 1650835 1651266 431 13
"376" "cluster1098" 1651831 1652276 445 13
"377" "cluster1102" 1655497 1656097 600 13
"378" "cluster1107" 1659150 1659198 48 13
"379" "cluster1108" 1659199 1659324 125 13
"380" "cluster1109" 1659325 1659585 260 13
"381" "cluster1110" 1662402 1662827 425 13
"382" "cluster47" 59793 60423 630 18
"383" "cluster48" 60424 60669 245 18
"384" "cluster53" 61385 61437 52 18
"385" "cluster54" 61438 61510 72 18
"386" "cluster54" 62895 64309 1414 18
"387" "cluster843" 1233612 1233867 255 18
"388" "cluster843" 1234765 1235510 745 18
"389" "cluster844" 1235511 1236515 1004 18
"390" "cluster844" 1236926 1237015 89 18
"391" "cluster846" 1240383 1240615 232 18
"392" "cluster847" 1240616 1242959 2343 18
"393" "cluster847" 1243078 1243865 787 18
"394" "cluster974" 1445003 1445551 548 18
"395" "cluster975" 1445552 1447353 1801 18
"396" "cluster5" 6693 10593 3900 19
"397" "cluster5" 10777 10781 4 19
"398" "cluster6" 10782 11241 459 19
"399" "cluster6" 12941 13441 500 19
"400" "cluster54" 62387 64146 1759 19
"401" "cluster54" 64984 65415 431 19
"402" "cluster55" 65725 65993 268 19
"403" "cluster59" 70964 71143 179 19
"404" "cluster61" 78833 78893 60 19
"405" "cluster62" 78894 79333 439 19
"406" "cluster62" 81829 82240 411 19
"407" "cluster63" 82241 82607 366 19
"408" "cluster63" 82827 83377 550 19
"409" "cluster63" 83500 83562 62 19
"410" "cluster64" 83563 84025 462 19
"411" "cluster64" 84325 85109 784 19
"412" "cluster64" 85515 86125 610 19
"413" "cluster64" 87175 87367 192 19
"414" "cluster64" 87872 89129 1257 19
"415" "cluster65" 90453 90517 64 19
"416" "cluster66" 90518 91022 504 19
"417" "cluster67" 91767 91930 163 19
"418" "cluster67" 92408 93869 1461 19
"419" "cluster72" 103656 105809 2153 19
"420" "cluster74" 110616 112287 1671 19
"421" "cluster75" 112288 113241 953 19
"422" "cluster76" 113242 113674 432 19
"423" "cluster77" 113675 113899 224 19
"424" "cluster78" 118106 119747 1641 19
"425" "cluster114" 163875 164526 651 19
"426" "cluster115" 167523 168373 850 19
"427" "cluster117" 169546 169640 94 19
"428" "cluster120" 180463 182048 1585 19
"429" "cluster121" 182049 182361 312 19
"430" "cluster121" 182811 183943 1132 19
"431" "cluster121" 184949 187561 2612 19
"432" "cluster140" 221823 222507 684 19
"433" "cluster141" 222508 222983 475 19
"434" "cluster142" 222984 223175 191 19
"435" "cluster143" 223176 223442 266 19
"436" "cluster144" 223443 224315 872 19
"437" "cluster146" 230761 231011 250 19
"438" "cluster146" 232208 232353 145 19
"439" "cluster147" 232354 234984 2630 19
"440" "cluster151" 235951 236151 200 19
"441" "cluster166" 240067 240871 804 19
"442" "cluster166" 242869 242944 75 19
"443" "cluster167" 242945 243069 124 19
"444" "cluster170" 244812 244953 141 19
"445" "cluster171" 244954 244982 28 19
"446" "cluster172" 244983 246765 1782 19
"447" "cluster173" 246766 247260 494 19
"448" "cluster179" 250633 250995 362 19
"449" "cluster179" 251187 253962 2775 19
"450" "cluster179" 255017 255645 628 19
"451" "cluster191" 274648 274838 190 19
"452" "cluster192" 274839 275612 773 19
"453" "cluster193" 275613 275810 197 19
"454" "cluster193" 276031 276223 192 19
"455" "cluster194" 276224 276515 291 19
"456" "cluster204" 291997 292200 203 19
"457" "cluster205" 292201 292251 50 19
"458" "cluster206" 292252 292427 175 19
"459" "cluster216" 296713 296721 8 19
"460" "cluster222" 311367 311980 613 19
"461" "cluster222" 312858 314346 1488 19
"462" "cluster257" 349728 351089 1361 19
"463" "cluster259" 354420 354986 566 19
"464" "cluster262" 360313 360334 21 19
"465" "cluster263" 360335 360747 412 19
"466" "cluster265" 363520 363736 216 19
"467" "cluster281" 385570 385696 126 19
"468" "cluster282" 385697 386289 592 19
"469" "cluster283" 393691 394662 971 19
"470" "cluster284" 394663 394688 25 19
"471" "cluster286" 403481 403881 400 19
"472" "cluster286" 404031 404481 450 19
"473" "cluster291" 406921 408093 1172 19
"474" "cluster292" 408094 408638 544 19
"475" "cluster293" 408639 409077 438 19
"476" "cluster294" 409078 409102 24 19
"477" "cluster295" 409103 410213 1110 19
"478" "cluster295" 411744 412464 720 19
"479" "cluster295" 413028 413118 90 19
"480" "cluster299" 420103 420320 217 19
"481" "cluster300" 420321 420517 196 19
"482" "cluster301" 420518 421318 800 19
"483" "cluster304" 427736 428254 518 19
"484" "cluster304" 428642 428845 203 19
"485" "cluster313" 446275 446406 131 19
"486" "cluster314" 446407 446537 130 19
"487" "cluster326" 464999 465155 156 19
"488" "cluster340" 481723 482005 282 19
"489" "cluster351" 496789 497801 1012 19
"490" "cluster354" 502036 502645 609 19
"491" "cluster354" 504045 504460 415 19
"492" "cluster364" 525325 525942 617 19
"493" "cluster365" 525943 526788 845 19
"494" "cluster366" 532295 532467 172 19
"495" "cluster368" 532788 532980 192 19
"496" "cluster368" 534992 535417 425 19
"497" "cluster368" 535805 536567 762 19
"498" "cluster368" 537256 537494 238 19
"499" "cluster369" 537495 537726 231 19
"500" "cluster370" 541193 541493 300 19
"501" "cluster373" 552418 552524 106 19
"502" "cluster373" 560082 560425 343 19
"503" "cluster377" 574874 575160 286 19
"504" "cluster378" 575161 576057 896 19
"505" "cluster379" 577093 577385 292 19
"506" "cluster380" 577386 578922 1536 19
"507" "cluster381" 578923 579364 441 19
"508" "cluster382" 579365 580405 1040 19
"509" "cluster388" 590704 590804 100 19
"510" "cluster389" 590805 591225 420 19
"511" "cluster397" 605436 606209 773 19
"512" "cluster401" 611951 612651 700 19
"513" "cluster405" 619269 621493 2224 19
"514" "cluster407" 625337 625604 267 19
"515" "cluster408" 625605 625921 316 19
"516" "cluster409" 625922 625985 63 19
"517" "cluster411" 630531 630631 100 19
"518" "cluster424" 646965 647155 190 19
"519" "cluster424" 648386 649205 819 19
"520" "cluster424" 650405 650473 68 19
"521" "cluster426" 654403 654828 425 19
"522" "cluster427" 654829 655405 576 19
"523" "cluster427" 656018 657300 1282 19
"524" "cluster437" 690191 690529 338 19
"525" "cluster438" 691077 692035 958 19
"526" "cluster439" 696494 697676 1182 19
"527" "cluster449" 725276 725724 448 19
"528" "cluster450" 725725 727247 1522 19
"529" "cluster487" 747355 747617 262 19
"530" "cluster512" 762729 762896 167 19
"531" "cluster516" 767471 768821 1350 19
"532" "cluster527" 785197 785723 526 19
"533" "cluster528" 785724 785788 64 19
"534" "cluster528" 787345 787660 315 19
"535" "cluster529" 787661 788095 434 19
"536" "cluster529" 788310 789152 842 19
"537" "cluster532" 796222 797682 1460 19
"538" "cluster536" 809081 809261 180 19
"539" "cluster539" 815919 816046 127 19
"540" "cluster540" 816047 816098 51 19
"541" "cluster541" 816099 816348 249 19
"542" "cluster542" 816349 816639 290 19
"543" "cluster542" 816919 819119 2200 19
"544" "cluster547" 832409 833073 664 19
"545" "cluster548" 833074 834794 1720 19
"546" "cluster550" 846203 847657 1454 19
"547" "cluster550" 848233 849258 1025 19
"548" "cluster551" 849259 850108 849 19
"549" "cluster552" 850109 850763 654 19
"550" "cluster654" 976291 976663 372 19
"551" "cluster655" 976664 976824 160 19
"552" "cluster656" 976825 977212 387 19
"553" "cluster657" 977213 977539 326 19
"554" "cluster658" 977540 978238 698 19
"555" "cluster664" 986475 986632 157 19
"556" "cluster664" 986963 987414 451 19
"557" "cluster664" 987525 988935 1410 19
"558" "cluster666" 990371 990915 544 19
"559" "cluster667" 991928 992785 857 19
"560" "cluster674" 1002422 1003168 746 19
"561" "cluster674" 1003315 1003503 188 19
"562" "cluster677" 1007998 1008256 258 19
"563" "cluster677" 1009897 1009969 72 19
"564" "cluster678" 1010495 1010499 4 19
"565" "cluster679" 1012035 1012151 116 19
"566" "cluster684" 1024012 1024589 577 19
"567" "cluster701" 1039551 1039628 77 19
"568" "cluster710" 1056755 1056960 205 19
"569" "cluster711" 1058658 1058810 152 19
"570" "cluster714" 1060036 1060478 442 19
"571" "cluster727" 1082591 1083317 726 19
"572" "cluster728" 1083318 1083997 679 19
"573" "cluster729" 1086886 1087055 169 19
"574" "cluster763" 1124168 1124772 604 19
"575" "cluster764" 1124773 1124925 152 19
"576" "cluster764" 1125610 1127146 1536 19
"577" "cluster767" 1132325 1133293 968 19
"578" "cluster767" 1134096 1134284 188 19
"579" "cluster768" 1134285 1134767 482 19
"580" "cluster773" 1141659 1142046 387 19
"581" "cluster774" 1142047 1142267 220 19
"582" "cluster775" 1142268 1142433 165 19
"583" "cluster776" 1142434 1142971 537 19
"584" "cluster776" 1146482 1146893 411 19
"585" "cluster777" 1146894 1150063 3169 19
"586" "cluster777" 1150742 1152111 1369 19
"587" "cluster777" 1152599 1154873 2274 19
"588" "cluster777" 1155281 1155490 209 19
"589" "cluster778" 1155491 1155745 254 19
"590" "cluster778" 1156044 1156058 14 19
"591" "cluster779" 1156059 1156718 659 19
"592" "cluster780" 1162337 1162366 29 19
"593" "cluster781" 1162367 1162701 334 19
"594" "cluster782" 1162702 1162766 64 19
"595" "cluster783" 1162767 1162791 24 19
"596" "cluster797" 1171009 1171209 200 19
"597" "cluster797" 1172218 1172975 757 19
"598" "cluster797" 1174106 1174726 620 19
"599" "cluster798" 1174727 1174903 176 19
"600" "cluster799" 1174904 1175505 601 19
"601" "cluster799" 1176881 1176896 15 19
"602" "cluster800" 1176897 1176923 26 19
"603" "cluster801" 1176924 1178629 1705 19
"604" "cluster802" 1178630 1179070 440 19
"605" "cluster808" 1187525 1187637 112 19
"606" "cluster816" 1199282 1200009 727 19
"607" "cluster818" 1200687 1200890 203 19
"608" "cluster820" 1204644 1205326 682 19
"609" "cluster821" 1206004 1206214 210 19
"610" "cluster824" 1208235 1208261 26 19
"611" "cluster825" 1208262 1208396 134 19
"612" "cluster826" 1208397 1208964 567 19
"613" "cluster827" 1208965 1209245 280 19
"614" "cluster828" 1209246 1209591 345 19
"615" "cluster828" 1210494 1210947 453 19
"616" "cluster830" 1212041 1212150 109 19
"617" "cluster831" 1212151 1212341 190 19
"618" "cluster831" 1215727 1215839 112 19
"619" "cluster831" 1216239 1216323 84 19
"620" "cluster832" 1216324 1216601 277 19
"621" "cluster832" 1216939 1217750 811 19
"622" "cluster832" 1221578 1221637 59 19
"623" "cluster846" 1238638 1239132 494 19
"624" "cluster846" 1240053 1240615 562 19
"625" "cluster847" 1240616 1240731 115 19
"626" "cluster847" 1240859 1242759 1900 19
"627" "cluster847" 1243078 1243420 342 19
"628" "cluster848" 1247496 1247803 307 19
"629" "cluster848" 1248003 1248290 287 19
"630" "cluster852" 1251999 1253999 2000 19
"631" "cluster854" 1261087 1261271 184 19
"632" "cluster865" 1282283 1282597 314 19
"633" "cluster866" 1282598 1283148 550 19
"634" "cluster867" 1283149 1283969 820 19
"635" "cluster881" 1296898 1297290 392 19
"636" "cluster882" 1297291 1297291 0 19
"637" "cluster890" 1303894 1304783 889 19
"638" "cluster891" 1304784 1305652 868 19
"639" "cluster895" 1314654 1314750 96 19
"640" "cluster900" 1321761 1322001 240 19
"641" "cluster901" 1322801 1322951 150 19
"642" "cluster901" 1323084 1323612 528 19
"643" "cluster904" 1324839 1325175 336 19
"644" "cluster905" 1325176 1325198 22 19
"645" "cluster906" 1325199 1325424 225 19
"646" "cluster907" 1325425 1328189 2764 19
"647" "cluster907" 1328471 1329339 868 19
"648" "cluster909" 1333519 1334795 1276 19
"649" "cluster909" 1335700 1336635 935 19
"650" "cluster917" 1349912 1350241 329 19
"651" "cluster921" 1353974 1354131 157 19
"652" "cluster932" 1372332 1372886 554 19
"653" "cluster933" 1372887 1373050 163 19
"654" "cluster940" 1376321 1377129 808 19
"655" "cluster941" 1377130 1377729 599 19
"656" "cluster948" 1393807 1394754 947 19
"657" "cluster949" 1394755 1395055 300 19
"658" "cluster949" 1395335 1395455 120 19
"659" "cluster949" 1395804 1396301 497 19
"660" "cluster951" 1397892 1398042 150 19
"661" "cluster952" 1404279 1404399 120 19
"662" "cluster960" 1426310 1427945 1635 19
"663" "cluster974" 1444653 1444956 303 19
"664" "cluster975" 1448942 1449592 650 19
